"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"3065","evm.TU.chromosome_3.977","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3066","evm.TU.chromosome_3.1388","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3067","evm.TU.chromosome_3.1388","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3068","evm.TU.chromosome_3.1036","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3069","evm.TU.chromosome_3.1036","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3070","evm.TU.chromosome_3.341","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3071","evm.TU.chromosome_3.341","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3072","evm.TU.chromosome_3.343","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3073","evm.TU.chromosome_3.343","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3074","evm.TU.chromosome_3.344","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3075","evm.TU.chromosome_3.344","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3076","evm.TU.chromosome_3.344","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3077","evm.TU.chromosome_3.1305","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3078","evm.TU.chromosome_3.1305","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3079","evm.TU.chromosome_3.89","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3080","evm.TU.chromosome_3.89","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3081","evm.TU.chromosome_3.87","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3082","evm.TU.chromosome_3.87","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3083","evm.TU.chromosome_3.1230","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3084","evm.TU.chromosome_3.220","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3085","evm.TU.chromosome_3.220","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3086","evm.TU.chromosome_3.1917","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3087","evm.TU.chromosome_3.1917","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3088","evm.TU.chromosome_3.585","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3089","evm.TU.chromosome_3.1034","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3090","evm.TU.chromosome_3.1034","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3091","evm.TU.chromosome_3.747","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3092","evm.TU.chromosome_3.747","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"3093","evm.TU.chromosome_3.747","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3094","evm.TU.chromosome_3.747","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"3095","evm.TU.chromosome_3.746","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3096","evm.TU.chromosome_3.746","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"3097","evm.TU.chromosome_3.740.1.5f15dcbf","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3098","evm.TU.chromosome_3.740.1.5f15dcbf","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3099","evm.TU.chromosome_3.740","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3100","evm.TU.chromosome_3.740","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"3101","evm.TU.chromosome_3.740","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3102","evm.TU.chromosome_3.1081","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3103","evm.TU.chromosome_3.1089","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3104","evm.TU.chromosome_3.247.1.5f15dbf0","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3105","evm.TU.chromosome_3.247.1.5f15dbf0","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3106","evm.TU.chromosome_3.247.1.5f15dbf0","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3107","evm.TU.chromosome_3.247","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3108","evm.TU.chromosome_3.247","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3109","evm.TU.chromosome_3.247","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3110","evm.TU.chromosome_3.1129","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3111","evm.TU.chromosome_3.1126","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3112","evm.TU.chromosome_3.1126","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3113","evm.TU.chromosome_3.1125","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3114","evm.TU.chromosome_3.1125","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3115","evm.TU.chromosome_3.312","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3116","evm.TU.chromosome_3.312","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3117","evm.TU.chromosome_3.311","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3118","evm.TU.chromosome_3.290","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3119","evm.TU.chromosome_3.290","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3120","evm.TU.chromosome_3.1638","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3121","evm.TU.chromosome_3.1635","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"3122","evm.TU.chromosome_3.622","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3123","evm.TU.chromosome_3.622","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3124","evm.TU.chromosome_3.622","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3125","evm.TU.chromosome_3.461","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3126","evm.TU.chromosome_3.461","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3127","evm.TU.chromosome_3.219","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3128","evm.TU.chromosome_3.219","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3129","evm.TU.chromosome_3.1772","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3130","evm.TU.chromosome_3.577","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3131","evm.TU.chromosome_3.714","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3132","evm.TU.chromosome_3.714","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3133","evm.TU.chromosome_3.714","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3134","evm.TU.chromosome_3.557","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3135","evm.TU.chromosome_3.727.1.5f15dcb6","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3136","evm.TU.chromosome_3.727","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3137","evm.TU.chromosome_3.727","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3138","evm.TU.chromosome_3.725","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3139","evm.TU.chromosome_3.725","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3140","evm.TU.chromosome_3.275","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3141","evm.TU.chromosome_3.249","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3142","evm.TU.chromosome_3.2012","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3143","evm.TU.chromosome_3.2012","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3144","evm.TU.chromosome_3.1152","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3145","evm.TU.chromosome_3.1152","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3146","evm.TU.chromosome_3.1151","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3147","evm.TU.chromosome_3.1151","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3148","evm.TU.chromosome_3.1156","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3149","evm.TU.chromosome_3.1156","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3150","evm.TU.chromosome_3.1157","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3151","evm.TU.chromosome_3.1157","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3152","evm.TU.chromosome_3.1154","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3153","evm.TU.chromosome_3.1154","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3154","evm.TU.chromosome_3.1155","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3155","evm.TU.chromosome_3.1155","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3156","evm.TU.chromosome_3.429","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3157","evm.TU.chromosome_3.429.1.5f15dc3c","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3158","evm.TU.chromosome_3.170","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3159","evm.TU.chromosome_3.9","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3160","evm.TU.chromosome_3.9","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3161","evm.TU.chromosome_3.1401","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3162","evm.TU.chromosome_3.1029","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3163","evm.TU.chromosome_3.1029","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3164","evm.TU.chromosome_3.1029","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3165","evm.TU.chromosome_3.2023","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3166","evm.TU.chromosome_3.2023","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"3167","evm.TU.chromosome_3.2023","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3168","evm.TU.chromosome_3.2023","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"3169","evm.TU.chromosome_3.1970","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3170","evm.TU.chromosome_3.1970","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3171","evm.TU.chromosome_3.1393","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3172","evm.TU.chromosome_3.1393","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3173","evm.TU.chromosome_3.217","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3174","evm.TU.chromosome_3.217","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3175","evm.TU.chromosome_3.2030","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3176","evm.TU.chromosome_3.2033","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3177","evm.TU.chromosome_3.644","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3178","evm.TU.chromosome_3.1103","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3179","evm.TU.chromosome_3.1107","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3180","evm.TU.chromosome_3.472","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3181","evm.TU.chromosome_3.472","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3182","evm.TU.chromosome_3.472.1.5f15dc4c","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3183","evm.TU.chromosome_3.472.1.5f15dc4c","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3184","evm.TU.chromosome_3.1524","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3185","evm.TU.chromosome_3.1524","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3186","evm.TU.chromosome_3.1928","GO:0052909","18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-di...",2,1,0.02,0.0174,"Molecular Functions",0.5
"3187","evm.TU.chromosome_3.1255","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3188","evm.TU.chromosome_3.1718","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3189","evm.TU.chromosome_3.842","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"3190","evm.TU.chromosome_3.846","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"3191","evm.TU.chromosome_3.771","GO:0030620","U2 snRNA binding",3,1,0.03,0.0259,"Molecular Functions",0.333333333333333
"3192","evm.TU.chromosome_3.88","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3193","evm.TU.chromosome_3.88","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3194","evm.TU.chromosome_3.1790","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3195","evm.TU.chromosome_3.1790","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3196","evm.TU.chromosome_3.1790","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3197","evm.TU.chromosome_3.1790","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3198","evm.TU.chromosome_3.385","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3199","evm.TU.chromosome_3.385","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3200","evm.TU.chromosome_3.384","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3201","evm.TU.chromosome_3.1623","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3202","evm.TU.chromosome_3.387","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3203","evm.TU.chromosome_3.387","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3204","evm.TU.chromosome_3.386","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3205","evm.TU.chromosome_3.386","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3206","evm.TU.chromosome_3.1018","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3207","evm.TU.chromosome_3.1018","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3208","evm.TU.chromosome_3.1018","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3209","evm.TU.chromosome_4.2484","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3210","evm.TU.chromosome_4.2484","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3211","evm.TU.chromosome_4.2484","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3212","evm.TU.chromosome_4.471","GO:0016788","hydrolase activity, acting on ester bonds",1467,12,12.79,0.0271,"Molecular Functions",0.0081799591002045
"3213","evm.TU.chromosome_4.39","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"3214","evm.TU.chromosome_4.39","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"3215","evm.TU.chromosome_4.36","GO:0001046","core promoter sequence-specific DNA binding",39,2,0.34,0.0453,"Molecular Functions",0.0512820512820513
"3216","evm.TU.chromosome_4.1880","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3217","evm.TU.chromosome_4.1880","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3218","evm.TU.chromosome_4.1883","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3219","evm.TU.chromosome_4.254","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3220","evm.TU.chromosome_4.350","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3221","evm.TU.chromosome_4.350","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3222","evm.TU.chromosome_4.2470","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3223","evm.TU.chromosome_4.2470","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3224","evm.TU.chromosome_4.1176","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3225","evm.TU.chromosome_4.1176","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3226","evm.TU.chromosome_4.2156","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3227","evm.TU.chromosome_4.2451","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3228","evm.TU.chromosome_4.2457","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3229","evm.TU.chromosome_4.2457","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3230","evm.TU.chromosome_4.2456","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3231","evm.TU.chromosome_4.2456","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3232","evm.TU.chromosome_4.936","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3233","evm.TU.chromosome_4.936","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3234","evm.TU.chromosome_4.2291","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3235","evm.TU.chromosome_4.2291","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3236","evm.TU.chromosome_4.2292","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3237","evm.TU.chromosome_4.2292","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3238","evm.TU.chromosome_4.488","GO:0016788","hydrolase activity, acting on ester bonds",1467,12,12.79,0.0271,"Molecular Functions",0.0081799591002045
"3239","evm.TU.chromosome_4.488","GO:0016788","hydrolase activity, acting on ester bonds",1467,12,12.79,0.0271,"Molecular Functions",0.0081799591002045
"3240","evm.TU.chromosome_4.2083","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3241","evm.TU.chromosome_4.2342","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3242","evm.TU.chromosome_4.2342","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3243","evm.TU.chromosome_4.2349","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3244","evm.TU.chromosome_4.2349","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3245","evm.TU.chromosome_4.387","GO:0005164","tumor necrosis factor receptor binding",140,4,1.22,0.0343,"Molecular Functions",0.0285714285714286
"3246","evm.TU.chromosome_4.387","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"3247","evm.TU.chromosome_4.2027","GO:0001046","core promoter sequence-specific DNA binding",39,2,0.34,0.0453,"Molecular Functions",0.0512820512820513
"3248","evm.TU.chromosome_4.2027","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3249","evm.TU.chromosome_4.1544","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3250","evm.TU.chromosome_4.1544","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3251","evm.TU.chromosome_4.800","GO:0004573","Glc3Man9GlcNAc2 oligosaccharide glucosidase activit...",3,1,0.03,0.0259,"Molecular Functions",0.333333333333333
"3252","evm.TU.chromosome_4.800","GO:0004573","Glc3Man9GlcNAc2 oligosaccharide glucosidase activit...",3,1,0.03,0.0259,"Molecular Functions",0.333333333333333
"3253","evm.TU.chromosome_4.1033","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3254","evm.TU.chromosome_4.1033","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3255","evm.TU.chromosome_4.1034","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3256","evm.TU.chromosome_4.1034","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3257","evm.TU.chromosome_4.2198","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3258","evm.TU.chromosome_4.2198","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3259","evm.TU.chromosome_4.2197","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3260","evm.TU.chromosome_4.2197","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3261","evm.TU.chromosome_4.568","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3262","evm.TU.chromosome_4.568","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3263","evm.TU.chromosome_4.568","GO:0004386","helicase activity",274,7,2.39,0.0075,"Molecular Functions",0.0255474452554745
"3264","evm.TU.chromosome_4.2344","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3265","evm.TU.chromosome_4.2344","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3266","evm.TU.chromosome_4.2341","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3267","evm.TU.chromosome_4.2341","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3268","evm.TU.chromosome_4.881","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3269","evm.TU.chromosome_4.883","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3270","evm.TU.chromosome_4.2107","GO:0031177","phosphopantetheine binding",13,2,0.11,0.0055,"Molecular Functions",0.153846153846154
"3271","evm.TU.chromosome_4.2107","GO:0016788","hydrolase activity, acting on ester bonds",1467,12,12.79,0.0271,"Molecular Functions",0.0081799591002045
"3272","evm.TU.chromosome_4.715","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"3273","evm.TU.chromosome_4.715","GO:0008017","microtubule binding",145,4,1.26,0.0382,"Molecular Functions",0.0275862068965517
"3274","evm.TU.chromosome_4.100","GO:0031625","ubiquitin protein ligase binding",324,7,2.82,0.0237,"Molecular Functions",0.0216049382716049
"3275","evm.TU.chromosome_4.792","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
"3276","evm.TU.chromosome_4.792","GO:0005524","ATP binding",2243,31,19.55,0.0061,"Molecular Functions",0.0138207757467677
